,Accuracy,Accuracy_p-value,Amount of data,Amount of data_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Licensing,Licensing_p-value,Performance,Performance_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Security,Security_p-value,Understandability,Understandability_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Accuracy,1.0,***,0.33,***,0.07,,-0.03,,0.14,,0.11,,0.33,***,-0.25,**,0.47,***,0.44,***,0.01,,0.19,*,0.45,***,0.0,,0.05,,0.05,,0.38,***,0.2,*,0.16,,0.24,*
Amount of data,0.33,***,1.0,***,-0.06,,-0.12,,-0.05,,0.06,,0.41,***,-0.03,,0.21,*,0.44,***,0.21,*,-0.07,,0.12,,-0.17,,0.05,,-0.1,,0.26,**,0.08,,-0.03,,0.36,***
Availability,0.07,,-0.06,,1.0,***,0.16,,0.34,***,-0.19,*,-0.41,***,0.02,,0.32,***,-0.22,*,0.23,*,0.2,*,0.21,*,0.38,***,-0.21,*,-0.34,***,-0.34,***,-0.07,,0.72,***,-0.36,***
Believability,-0.03,,-0.12,,0.16,,1.0,***,0.09,,0.23,*,0.21,*,-0.26,**,0.2,*,0.13,,0.12,,0.15,,0.34,***,-0.02,,0.4,***,-0.09,,0.26,**,0.41,***,0.03,,0.14,
Completeness,0.14,,-0.05,,0.34,***,0.09,,1.0,***,-0.05,,-0.12,,-0.25,**,0.29,**,0.05,,0.02,,0.22,*,0.04,,0.18,,0.19,*,-0.05,,-0.0,,0.16,,0.25,**,-0.32,***
Conciseness,0.11,,0.06,,-0.19,*,0.23,*,-0.05,,1.0,***,0.67,***,-0.41,***,-0.03,,0.42,***,0.11,,0.08,,0.23,*,-0.21,*,0.42,***,-0.01,,0.33,***,0.28,**,-0.19,*,0.44,***
Consistency,0.33,***,0.41,***,-0.41,***,0.21,*,-0.12,,0.67,***,1.0,***,-0.42,***,0.09,,0.57,***,0.13,,0.13,,0.2,*,-0.38,***,0.45,***,-0.12,,0.57,***,0.4,***,-0.34,***,0.63,***
Currency,-0.25,**,-0.03,,0.02,,-0.26,**,-0.25,**,-0.41,***,-0.42,***,1.0,***,-0.21,*,-0.47,***,0.05,,-0.02,,-0.22,*,0.05,,-0.34,***,0.12,,-0.51,***,-0.4,***,-0.07,,-0.22,*
Interlinking,0.47,***,0.21,*,0.32,***,0.2,*,0.29,**,-0.03,,0.09,,-0.21,*,1.0,***,0.36,***,0.24,*,0.1,,0.34,***,-0.08,,0.09,,-0.01,,0.26,**,0.37,***,0.37,***,0.19,*
Interpretability,0.44,***,0.44,***,-0.22,*,0.13,,0.05,,0.42,***,0.57,***,-0.47,***,0.36,***,1.0,***,-0.0,,0.08,,0.53,***,-0.18,,0.29,**,0.14,,0.61,***,0.27,**,-0.02,,0.61,***
Licensing,0.01,,0.21,*,0.23,*,0.12,,0.02,,0.11,,0.13,,0.05,,0.24,*,-0.0,,1.0,***,0.22,*,0.36,***,-0.01,,-0.09,,-0.07,,0.02,,0.26,**,0.28,**,0.19,*
Performance,0.19,*,-0.07,,0.2,*,0.15,,0.22,*,0.08,,0.13,,-0.02,,0.1,,0.08,,0.22,*,1.0,***,0.35,***,0.11,,-0.06,,-0.22,*,-0.02,,0.28,**,0.31,**,0.02,
Rep. Conciseness,0.45,***,0.12,,0.21,*,0.34,***,0.04,,0.23,*,0.2,*,-0.22,*,0.34,***,0.53,***,0.36,***,0.35,***,1.0,***,0.21,*,-0.02,,-0.01,,0.31,**,0.29,**,0.32,***,0.28,**
Interoperability,0.0,,-0.17,,0.38,***,-0.02,,0.18,,-0.21,*,-0.38,***,0.05,,-0.08,,-0.18,,-0.01,,0.11,,0.21,*,1.0,***,-0.31,***,-0.03,,-0.34,***,-0.39,***,0.22,*,-0.56,***
Reputation,0.05,,0.05,,-0.21,*,0.4,***,0.19,*,0.42,***,0.45,***,-0.34,***,0.09,,0.29,**,-0.09,,-0.06,,-0.02,,-0.31,***,1.0,***,0.02,,0.4,***,0.38,***,-0.29,**,0.22,*
Security,0.05,,-0.1,,-0.34,***,-0.09,,-0.05,,-0.01,,-0.12,,0.12,,-0.01,,0.14,,-0.07,,-0.22,*,-0.01,,-0.03,,0.02,,1.0,***,0.18,,-0.06,,-0.19,*,0.04,
Understandability,0.38,***,0.26,**,-0.34,***,0.26,**,-0.0,,0.33,***,0.57,***,-0.51,***,0.26,**,0.61,***,0.02,,-0.02,,0.31,**,-0.34,***,0.4,***,0.18,,1.0,***,0.48,***,-0.12,,0.55,***
Verifiability,0.2,*,0.08,,-0.07,,0.41,***,0.16,,0.28,**,0.4,***,-0.4,***,0.37,***,0.27,**,0.26,**,0.28,**,0.29,**,-0.39,***,0.38,***,-0.06,,0.48,***,1.0,***,0.07,,0.36,***
Versatility,0.16,,-0.03,,0.72,***,0.03,,0.25,**,-0.19,*,-0.34,***,-0.07,,0.37,***,-0.02,,0.28,**,0.31,**,0.32,***,0.22,*,-0.29,**,-0.19,*,-0.12,,0.07,,1.0,***,-0.03,
Timeliness,0.24,*,0.36,***,-0.36,***,0.14,,-0.32,***,0.44,***,0.63,***,-0.22,*,0.19,*,0.61,***,0.19,*,0.02,,0.28,**,-0.56,***,0.22,*,0.04,,0.55,***,0.36,***,-0.03,,1.0,***
