,Accuracy,Accuracy_p-value,Amount of data,Amount of data_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Licensing,Licensing_p-value,Performance,Performance_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Security,Security_p-value,Understandability,Understandability_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Accuracy,1.0,***,0.9,***,0.53,***,-0.07,**,0.41,***,0.95,***,0.91,***,0.82,***,0.92,***,0.91,***,0.17,***,0.99,***,0.91,***,0.95,***,0.07,**,1.0,***,0.29,***,0.51,***,0.9,***,0.54,***
Amount of data,0.9,***,1.0,***,0.49,***,-0.09,***,0.38,***,0.82,***,0.85,***,0.8,***,0.87,***,0.83,***,0.18,***,0.89,***,0.83,***,0.85,***,0.08,***,0.89,***,0.3,***,0.48,***,0.86,***,0.56,***
Availability,0.53,***,0.49,***,1.0,***,-0.21,***,0.22,***,0.5,***,0.47,***,0.48,***,0.49,***,0.47,***,0.27,***,0.53,***,0.48,***,0.54,***,-0.09,***,0.53,***,0.19,***,0.28,***,0.53,***,0.26,***
Believability,-0.07,**,-0.09,***,-0.21,***,1.0,***,-0.02,,-0.05,*,-0.04,,-0.03,,-0.07,**,-0.05,*,0.12,***,-0.07,**,-0.05,*,-0.07,**,0.27,***,-0.08,**,-0.07,**,0.31,***,-0.07,**,0.02,
Completeness,0.41,***,0.38,***,0.22,***,-0.02,,1.0,***,0.41,***,0.38,***,0.37,***,0.41,***,0.4,***,0.09,***,0.39,***,0.43,***,0.39,***,0.1,***,0.4,***,0.11,***,0.2,***,0.39,***,0.03,
Conciseness,0.95,***,0.82,***,0.5,***,-0.05,*,0.41,***,1.0,***,0.95,***,0.83,***,0.84,***,0.93,***,0.18,***,0.94,***,0.93,***,0.9,***,0.1,***,0.94,***,0.27,***,0.49,***,0.85,***,0.54,***
Consistency,0.91,***,0.85,***,0.47,***,-0.04,,0.38,***,0.95,***,1.0,***,0.87,***,0.87,***,0.95,***,0.2,***,0.9,***,0.94,***,0.86,***,0.11,***,0.89,***,0.29,***,0.48,***,0.81,***,0.6,***
Currency,0.82,***,0.8,***,0.48,***,-0.03,,0.37,***,0.83,***,0.87,***,1.0,***,0.83,***,0.86,***,0.22,***,0.81,***,0.85,***,0.87,***,0.11,***,0.81,***,0.34,***,0.53,***,0.89,***,0.53,***
Interlinking,0.92,***,0.87,***,0.49,***,-0.07,**,0.41,***,0.84,***,0.87,***,0.83,***,1.0,***,0.9,***,0.17,***,0.91,***,0.9,***,0.87,***,0.07,**,0.92,***,0.29,***,0.48,***,0.84,***,0.57,***
Interpretability,0.91,***,0.83,***,0.47,***,-0.05,*,0.4,***,0.93,***,0.95,***,0.86,***,0.9,***,1.0,***,0.2,***,0.9,***,0.99,***,0.86,***,0.09,***,0.9,***,0.31,***,0.48,***,0.82,***,0.59,***
Licensing,0.17,***,0.18,***,0.27,***,0.12,***,0.09,***,0.18,***,0.2,***,0.22,***,0.17,***,0.2,***,1.0,***,0.16,***,0.19,***,0.18,***,0.1,***,0.16,***,0.15,***,0.25,***,0.18,***,0.18,***
