,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Number of triples,1.0,***,0.54,***,0.37,***,0.63,***,0.33,***,,,-0.35,***,0.19,*,-0.35,***,0.19,*,-0.27,**,0.25,**,,,-0.26,**,0.34,***,0.67,***,0.37,***,0.21,*,-0.63,***,-0.39,,,,-0.06,,-0.27,**,0.28,**,0.47,***,,,-0.06,,,,0.51,***,,,0.17,,0.55,***,0.01,,0.57,***,0.38,***,0.0,,0.02,,-0.52,***,-0.68,***,-0.34,***,0.03,,0.06,,,,0.51,***,0.65,***,0.73,***,0.87,***,0.69,***,0.58,***,1.0,***,0.25,**,0.15,,,,0.11,,0.05,,-0.1,,-0.39,***,0.24,**,,,0.51,***,-0.1,,,,,,-0.1,,,,0.39,***,,,-0.29,**,0.27,**,-0.38,***,0.21,*,0.56,***,0.28,**,-0.1,,0.51,***,0.51,***,0.38,***,-0.28,**,0.67,***
Number of triples (metadata),0.54,***,1.0,***,0.24,**,0.22,*,0.18,*,,,-0.21,*,0.03,,-0.21,*,0.03,,-0.01,,0.38,***,,,0.09,,0.33,***,0.34,***,0.17,*,0.47,***,-0.17,,0.31,,,,-0.13,,0.11,,0.1,,0.13,,,,0.09,,,,0.27,*,,,0.38,***,0.39,***,-0.07,,0.15,,0.12,,0.1,,0.11,,-0.0,,-0.14,,0.12,,0.14,,0.17,*,,,0.21,*,0.35,***,0.48,**,0.45,***,0.35,***,0.33,***,0.54,***,0.55,***,0.06,,,,0.16,,0.01,,-0.04,,-0.14,,0.48,***,,,0.21,*,-0.29,***,,,,,-0.1,,,,0.21,*,,,-0.12,,0.17,,-0.09,,0.14,,0.2,*,0.05,,-0.28,***,0.19,*,0.19,*,0.27,**,-0.26,**,0.18,*
Accuracy,0.37,***,0.24,**,1.0,***,0.27,**,0.45,***,,,-0.12,,0.17,,-0.12,,0.17,,-0.03,,0.08,,,,0.07,,0.48,***,0.68,***,0.41,***,0.34,***,-0.26,**,-0.59,**,,,0.0,,0.01,,0.23,**,0.64,***,,,-0.17,,,,0.18,,,,0.26,**,0.15,,-0.32,***,-0.19,,0.01,,0.06,,0.09,,-0.08,,-0.08,,0.25,**,0.18,*,0.22,*,,,0.66,***,0.11,,0.7,***,0.51,***,0.2,*,0.27,**,0.37,***,0.28,***,0.11,,,,0.07,,0.15,,0.35,***,-0.06,,0.25,**,,,0.66,***,0.05,,,,,,-0.09,,,,0.17,,,,0.31,***,0.77,***,-0.13,,0.06,,0.27,**,0.54,***,0.03,,0.06,,0.06,,0.23,**,0.07,,0.52,***
Age of data,0.63,***,0.22,*,0.27,**,1.0,***,0.17,,,,-0.36,***,0.23,*,-0.36,***,0.23,*,-0.22,*,-0.03,,,,-0.32,**,0.02,,0.39,***,,,-0.12,,-0.85,***,-0.27,,,,-0.18,,-0.34,***,0.2,,0.19,,,,-0.18,,,,0.17,,,,-0.12,,0.36,**,0.14,,0.43,***,0.41,***,0.07,,0.08,,-0.27,*,-0.71,***,-0.34,**,0.13,,0.18,,,,0.4,***,0.55,***,-0.05,,0.52,***,0.53,***,0.15,,0.63,***,-0.12,,-0.22,,,,0.26,**,-0.1,,-0.17,,-0.38,***,-0.14,,,,0.4,***,-0.19,,,,,,-0.13,,,,0.23,*,,,-0.4,***,0.1,,-0.35,**,,,0.36,***,0.09,,-0.19,,0.09,,0.09,,0.39,***,0.0,,0.79,***
Amount of data,0.33,***,0.18,*,0.45,***,0.17,,1.0,***,,,0.12,,0.51,***,0.12,,0.51,***,-0.1,,-0.01,,,,0.01,,0.25,**,0.62,***,0.39,***,0.44,***,-0.47,***,,,,,0.11,,-0.03,,0.39,***,0.64,***,,,-0.21,,,,0.23,,,,0.17,*,0.08,,0.08,,0.07,,0.31,***,-0.13,,-0.09,,-0.31,***,-0.1,,-0.03,,0.02,,0.05,,,,0.59,***,0.16,,0.22,,0.47,***,0.04,,0.4,***,0.33,***,0.32,***,0.46,***,,,-0.14,,0.23,**,0.12,,-0.48,***,0.32,***,,,0.59,***,0.15,,,,,,0.18,,,,0.23,*,,,0.27,**,0.27,**,-0.21,*,0.25,**,0.37,***,0.61,***,0.15,,0.27,**,0.27,**,0.42,***,0.07,,0.45,***
Author (metadata),,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability for download (metadata),-0.35,***,-0.21,*,-0.12,,-0.36,***,0.12,,,,1.0,***,0.31,***,1.0,***,0.31,***,0.19,*,-0.05,,,,0.14,,-0.05,,-0.15,,-0.15,,0.3,***,0.35,***,-0.44,*,,,0.36,***,0.16,,-0.16,,-0.02,,,,-0.07,,,,0.01,,,,-0.18,*,-0.09,,-0.23,*,-0.22,*,-0.24,**,-0.17,*,-0.15,,0.16,,0.36,***,0.25,**,-0.2,*,-0.22,**,,,-0.05,,-0.43,***,-0.28,,-0.16,,-0.4,***,0.11,,-0.35,***,0.28,***,0.06,,,,-0.37,***,0.37,***,0.05,,-0.12,,0.3,***,,,-0.05,,0.5,***,,,,,0.28,**,,,0.06,,,,0.27,**,0.07,,-0.15,,-0.06,,0.07,,0.28,***,0.51,***,-0.1,,-0.1,,-0.12,,0.44,***,-0.24,**
Availability for download (query),0.19,*,0.03,,0.17,,0.23,*,0.51,***,,,0.31,***,1.0,***,0.31,***,1.0,***,-0.26,**,0.18,*,,,-0.1,,0.13,,0.33,***,0.3,***,0.41,***,-0.32,**,-0.51,**,,,0.33,***,-0.12,,0.15,,0.28,***,,,-0.08,,,,0.17,,,,0.04,,0.16,,-0.04,,0.28,**,0.22,*,-0.06,,-0.05,,-0.2,*,-0.09,,0.04,,-0.11,,-0.07,,,,0.3,***,0.05,,0.06,,0.37,***,0.09,,0.42,***,0.19,*,0.32,***,0.24,*,,,-0.11,,0.27,**,0.07,,-0.6,***,0.36,***,,,0.3,***,0.25,**,,,,,0.49,***,,,0.02,,,,0.17,,0.27,**,-0.37,***,0.04,,0.16,,0.62,***,0.27,**,0.15,,0.15,,0.57,***,0.06,,0.32,***
Availability of RDF dump (metadata),-0.35,***,-0.21,*,-0.12,,-0.36,***,0.12,,,,1.0,***,0.31,***,1.0,***,0.31,***,0.19,*,-0.05,,,,0.14,,-0.05,,-0.15,,-0.15,,0.3,***,0.35,***,-0.44,*,,,0.36,***,0.16,,-0.16,,-0.02,,,,-0.07,,,,0.01,,,,-0.18,*,-0.09,,-0.23,*,-0.22,*,-0.24,**,-0.17,*,-0.15,,0.16,,0.36,***,0.25,**,-0.2,*,-0.22,**,,,-0.05,,-0.43,***,-0.28,,-0.16,,-0.4,***,0.11,,-0.35,***,0.28,***,0.06,,,,-0.37,***,0.37,***,0.05,,-0.12,,0.3,***,,,-0.05,,0.5,***,,,,,0.28,**,,,0.06,,,,0.27,**,0.07,,-0.15,,-0.06,,0.07,,0.28,***,0.51,***,-0.1,,-0.1,,-0.12,,0.44,***,-0.24,**
Availability of RDF dump (query),0.19,*,0.03,,0.17,,0.23,*,0.51,***,,,0.31,***,1.0,***,0.31,***,1.0,***,-0.26,**,0.18,*,,,-0.1,,0.13,,0.33,***,0.3,***,0.41,***,-0.32,**,-0.51,**,,,0.33,***,-0.12,,0.15,,0.28,***,,,-0.08,,,,0.17,,,,0.04,,0.16,,-0.04,,0.28,**,0.22,*,-0.06,,-0.05,,-0.2,*,-0.09,,0.04,,-0.11,,-0.07,,,,0.3,***,0.05,,0.06,,0.37,***,0.09,,0.42,***,0.19,*,0.32,***,0.24,*,,,-0.11,,0.27,**,0.07,,-0.6,***,0.36,***,,,0.3,***,0.25,**,,,,,0.49,***,,,0.02,,,,0.17,,0.27,**,-0.37,***,0.04,,0.16,,0.62,***,0.27,**,0.15,,0.15,,0.57,***,0.06,,0.32,***
