,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Description,Description_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Number of triples,1.0,***,0.94,***,0.43,***,0.45,***,0.41,***,,,0.43,***,0.45,***,0.43,***,0.45,***,0.15,***,0.33,***,,,0.17,***,0.43,***,0.43,***,0.42,***,0.39,***,-0.54,***,,,-0.25,,,,0.24,***,0.21,***,0.42,***,0.43,***,,,-0.3,***,,,0.55,***,,,0.44,***,0.3,**,-0.5,***,0.48,***,-0.29,**,0.2,*,0.22,*,-0.33,***,-0.61,***,0.21,*,0.12,,0.28,**,,,0.68,***,0.24,**,0.56,***,0.83,***,0.8,***,0.69,***,1.0,***,0.62,***,-0.11,,,,0.43,***,0.24,***,0.43,***,0.42,***,0.54,***,,,0.67,***,0.43,***,,,0.62,***,-0.32,**,,,0.23,*,,,-0.19,*,0.55,***,-0.21,*,0.28,**,0.58,***,0.4,***,-0.12,,0.36,***,0.36,***,0.46,***,0.42,***,0.32,***
Number of triples (metadata),0.94,***,1.0,***,0.23,***,-0.01,,0.23,***,,,0.37,***,0.12,,0.37,***,0.12,,0.05,,0.37,***,,,0.16,***,0.26,***,0.26,***,0.26,***,0.42,***,-0.18,,,,0.17,,,,0.27,***,0.28,***,0.22,***,0.25,***,,,-0.26,***,,,0.15,,,,0.45,***,0.16,,-0.44,***,0.06,,-0.2,*,0.08,,0.08,,0.11,,0.1,,0.31,**,0.08,,0.21,*,,,0.59,***,0.05,,0.49,***,0.39,***,0.37,***,0.32,***,0.45,***,0.66,***,-0.02,,,,0.23,***,0.24,***,0.24,***,0.23,***,0.57,***,,,0.59,***,0.22,***,,,0.25,***,-0.29,**,,,0.07,,,,0.0,,0.3,**,0.06,,0.13,,0.12,,0.33,***,-0.31,***,0.15,,0.15,,0.37,***,0.23,***,0.17,***
Accuracy,0.43,***,0.23,***,1.0,***,0.46,***,0.93,***,,,0.37,***,0.39,***,0.37,***,0.39,***,0.52,***,-0.06,*,,,0.44,***,0.96,***,0.95,***,0.87,***,0.06,*,-0.57,***,,,-0.4,*,,,-0.04,,-0.16,***,0.97,***,0.95,***,,,-0.24,***,,,0.37,**,,,0.2,***,0.01,,-0.61,***,0.0,,-0.39,***,0.21,*,0.23,*,-0.0,,-0.08,,0.44,***,0.14,,0.32,***,,,0.51,***,-0.1,,0.58,***,0.74,***,0.56,***,0.51,***,0.56,***,0.21,***,-0.38,***,,,1.0,***,0.02,,0.95,***,0.94,***,0.12,***,,,0.51,***,1.0,***,,,0.96,***,-0.48,***,,,0.11,,,,0.29,**,0.83,***,0.01,,0.07,,0.37,***,0.38,***,-0.06,,-0.03,,-0.03,,0.52,***,0.9,***,0.63,***
Age of data,0.45,***,-0.01,,0.46,***,1.0,***,0.48,***,,,0.21,*,0.7,***,0.21,*,0.7,***,-0.09,,0.32,**,,,-0.26,**,-0.2,,0.54,***,,,0.2,*,-0.83,***,,,-0.62,***,,,0.15,,-0.26,**,0.17,,0.22,*,,,0.14,,,,0.31,*,,,0.33,***,0.12,,-0.28,**,0.3,*,-0.05,,0.17,,0.21,*,-0.37,***,-0.46,***,0.13,,0.03,,0.24,*,,,0.56,***,0.11,,-0.13,,0.53,***,0.42,***,0.28,**,0.45,***,0.02,,-0.48,***,,,-0.09,,0.18,,-0.46,***,-0.57,***,0.23,*,,,0.56,***,-0.05,,,,,,-0.07,,,,0.08,,,,-0.07,,0.46,***,-0.1,,0.12,,0.5,***,0.58,***,-0.05,,0.01,,0.01,,0.51,***,-0.07,,0.76,***
Amount of data,0.41,***,0.23,***,0.93,***,0.48,***,1.0,***,,,0.36,***,0.61,***,0.36,***,0.61,***,0.49,***,-0.07,*,,,0.39,***,0.88,***,0.89,***,0.84,***,0.07,*,-0.79,***,,,,,,,-0.03,,-0.15,***,0.91,***,0.89,***,,,-0.25,***,,,0.3,*,,,0.19,***,-0.11,,-0.3,**,-0.07,,0.1,,0.0,,0.01,,-0.29,**,0.05,,0.17,,-0.08,,0.11,,,,0.49,***,-0.02,,0.03,,0.55,***,0.42,***,0.35,***,0.44,***,0.2,***,-0.03,,,,0.92,***,0.03,,0.88,***,0.88,***,0.11,***,,,0.49,***,0.93,***,,,0.89,***,-0.13,,,,0.24,*,,,0.38,***,0.47,***,-0.25,*,0.31,**,0.47,***,0.38,***,0.01,,0.13,,0.13,,0.5,***,0.87,***,0.65,***
Author (metadata),,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability for download (metadata),0.43,***,0.37,***,0.37,***,0.21,*,0.36,***,,,1.0,***,0.16,,1.0,***,0.16,,0.53,***,0.13,***,,,0.18,***,0.35,***,0.34,***,0.38,***,0.19,***,-0.12,,,,-0.36,*,,,0.11,***,0.04,,0.36,***,0.34,***,,,-0.44,***,,,0.04,,,,0.33,***,-0.06,,-0.02,,-0.21,,0.25,*,-0.25,**,-0.26,**,-0.17,,0.1,,0.01,,-0.26,**,-0.25,**,,,0.64,***,-0.06,,-0.4,**,-0.04,,-0.21,*,-0.03,,-0.17,,0.32,***,-0.09,,,,0.37,***,0.23,***,0.34,***,0.39,***,0.27,***,,,0.64,***,0.37,***,,,0.64,***,0.22,*,,,0.13,,,,0.19,*,0.03,,-0.06,,0.06,,0.02,,0.38,***,0.27,**,0.02,,0.02,,0.46,***,0.43,***,0.21,***
Availability for download (query),0.45,***,0.12,,0.39,***,0.7,***,0.61,***,,,0.16,,1.0,***,0.16,,1.0,***,-0.21,*,0.45,***,,,-0.14,,-0.05,,0.51,***,0.3,***,0.4,***,-0.79,***,,,-0.63,***,,,0.22,*,-0.15,,0.4,***,0.3,***,,,0.29,*,,,0.39,**,,,0.39,***,0.13,,-0.37,***,0.4,***,0.06,,0.1,,0.14,,-0.23,*,-0.41,***,0.25,*,-0.03,,0.09,,,,0.4,***,0.13,,0.03,,0.61,***,0.46,***,0.48,***,0.45,***,0.26,**,-0.21,*,,,-0.1,,0.15,,-0.34,***,-0.68,***,0.43,***,,,0.4,***,-0.03,,,,,,0.1,,,,0.12,,,,0.01,,0.52,***,-0.28,**,0.1,,0.39,***,0.65,***,-0.03,,0.09,,0.09,,0.67,***,-0.26,**,0.57,***
Availability of RDF dump (metadata),0.43,***,0.37,***,0.37,***,0.21,*,0.36,***,,,1.0,***,0.16,,1.0,***,0.16,,0.53,***,0.13,***,,,0.18,***,0.35,***,0.34,***,0.38,***,0.19,***,-0.12,,,,-0.36,*,,,0.11,***,0.04,,0.36,***,0.34,***,,,-0.44,***,,,0.04,,,,0.33,***,-0.06,,-0.02,,-0.21,,0.25,*,-0.25,**,-0.26,**,-0.17,,0.1,,0.01,,-0.26,**,-0.25,**,,,0.64,***,-0.06,,-0.4,**,-0.04,,-0.21,*,-0.03,,-0.17,,0.32,***,-0.09,,,,0.37,***,0.23,***,0.34,***,0.39,***,0.27,***,,,0.64,***,0.37,***,,,0.64,***,0.22,*,,,0.13,,,,0.19,*,0.03,,-0.06,,0.06,,0.02,,0.38,***,0.27,**,0.02,,0.02,,0.46,***,0.43,***,0.21,***
Availability of RDF dump (query),0.45,***,0.12,,0.39,***,0.7,***,0.61,***,,,0.16,,1.0,***,0.16,,1.0,***,-0.21,*,0.45,***,,,-0.14,,-0.05,,0.51,***,0.3,***,0.4,***,-0.79,***,,,-0.63,***,,,0.22,*,-0.15,,0.4,***,0.3,***,,,0.29,*,,,0.39,**,,,0.39,***,0.13,,-0.37,***,0.4,***,0.06,,0.1,,0.14,,-0.23,*,-0.41,***,0.25,*,-0.03,,0.09,,,,0.4,***,0.13,,0.03,,0.61,***,0.46,***,0.48,***,0.45,***,0.26,**,-0.21,*,,,-0.1,,0.15,,-0.34,***,-0.68,***,0.43,***,,,0.4,***,-0.03,,,,,,0.1,,,,0.12,,,,0.01,,0.52,***,-0.28,**,0.1,,0.39,***,0.65,***,-0.03,,0.09,,0.09,,0.67,***,-0.26,**,0.57,***
Availability,0.15,***,0.05,,0.52,***,-0.09,,0.49,***,,,0.53,***,-0.21,*,0.53,***,-0.21,*,1.0,***,-0.39,***,,,0.23,***,0.49,***,0.48,***,0.49,***,-0.18,***,0.2,*,,,0.77,***,,,-0.66,***,-0.3,***,0.5,***,0.49,***,,,-0.45,***,,,0.27,*,,,0.19,***,-0.27,**,-0.18,,-0.08,,-0.4,***,0.17,,0.17,,0.24,*,-0.2,,0.14,,0.16,,0.17,,,,0.35,***,0.06,,-0.54,***,0.04,,0.04,,-0.02,,-0.06,,-0.04,,-0.17,,,,0.52,***,-0.03,,0.49,***,0.52,***,-0.08,**,,,0.35,***,0.51,***,,,0.86,***,-0.61,***,,,-0.0,,,,0.05,,0.01,,0.83,***,-0.16,,-0.15,,0.17,***,-0.33,***,-0.19,*,-0.19,*,0.11,***,0.52,***,0.31,***
Believability,0.33,***,0.37,***,-0.06,*,0.32,**,-0.07,*,,,0.13,***,0.45,***,0.13,***,0.45,***,-0.39,***,1.0,***,,,-0.02,,-0.05,,-0.04,,-0.03,,0.57,***,-0.35,***,,,0.4,*,,,0.48,***,0.5,***,-0.05,*,-0.04,,,,0.95,***,,,0.46,***,,,0.07,**,-0.07,,-0.49,***,0.29,**,-0.48,***,0.35,***,0.36,***,0.11,,-0.44,***,0.45,***,0.24,**,0.32,***,,,0.41,***,0.09,,-0.32,*,0.63,***,0.61,***,0.61,***,0.52,***,0.39,***,-0.35,***,,,-0.06,*,0.1,***,-0.04,,-0.06,*,0.44,***,,,0.41,***,-0.06,*,,,-0.04,,-0.47,***,,,-0.07,,,,-0.28,**,0.45,***,0.43,***,-0.02,,0.2,*,0.08,**,-0.3,***,-0.04,,-0.04,,0.45,***,-0.05,,0.02,
Clustering coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
